VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 N.A@N.A N.A@N.A N.A@N.A N.A@N.A, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 N.A@N.A N.A@N.A N.A@N.A, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 N.A@N.A N.A@N.A, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 N.A@N.A, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017828773, N.A@N.A N.A@N.A N.A@N.A N.A@N.A N.A@N.A X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
